Time (s);Ax (m/s²);Ay (m/s²);Az (m/s²)
7.4178837209;-0.5281921778;9.2606142063;0.3882812477
7.4278139535;-0.4850302164;9.0961795112;0.5757223451
7.4377441860;-0.4274809346;9.0961795112;0.7295201687
7.4476744186;-0.3603401058;9.2461052626;0.8208376264
7.4576046512;-0.2788119566;9.3573404976;0.8304499903
7.4675348837;-0.2356499952;9.3573404976;0.7535510786
7.4774651163;-0.1493260725;9.4202125869;0.6718459848
7.4873953488;-0.0582063762;9.6958825170;0.5180481613
7.4973255814;-0.0102486414;9.9376982451;0.2681266980
7.5072558140;0.0568921874;10.0731150529;0.0133990528
7.5171860465;0.0952583753;10.0827876820;-0.2365224104
7.5271162791;0.1288287897;10.0972966257;-0.5345056935
7.5370465116;0.1384203367;10.2665676354;-0.7892333388
7.5469767442;0.1432161101;10.3729665558;-1.0007053461
7.5569069767;0.1144414692;10.3342760393;-1.1977588075
7.5668372093;0.1000541488;10.2568950063;-1.2506268094
7.5767674419;0.0281175465;10.3052581519;-1.2746577193
7.5866976744;-0.0342275088;10.3971481286;-1.2650453553
7.5966279070;-0.1013683376;10.4600202179;-1.0776042579
7.6065581395;-0.1733049399;10.4648565325;-0.8757446145
7.6164883721;-0.2452415422;10.4455112742;-0.6402416972
7.6264186047;-0.3123823709;10.4890381053;-0.3278398682
7.6363488372;-0.3843189732;10.5519101946;0.0085928708
7.6462790698;-0.4274809346;10.4890381053;0.3594441558
7.6562093023;-0.4610513490;10.3632939267;0.6814583488
7.6661395349;-0.4562555755;10.2665676354;0.9986663598
7.6760697674;-0.4370724816;10.2327134335;1.2149445492
7.6860000000;-0.3795231997;10.2472223771;1.3735485547
7.6959302326;-0.3363612384;10.2472223771;1.4696721944
7.7058604651;-0.2788119566;10.1698413441;1.4071918286
7.7157906977;-0.1876922603;10.2955855228;1.3591300088
7.7257209302;-0.1157556581;10.3729665558;1.1957198213
7.7356511628;-0.0246359618;10.4987107344;0.9938601779
7.7455813953;0.0568921874;10.5325649364;0.7343263506
7.7555116279;0.1192372427;10.5277286218;0.4507616135
7.7654418605;0.1959696185;10.5325649364;0.1479721484
7.7753720930;0.2343358064;10.5228923072;-0.1163678608
7.7853023256;0.2774977677;10.4019844432;-0.3374522321
7.7952325581;0.3206597291;10.2182044898;-0.4864438737
7.8051627907;0.3110681821;9.9812250762;-0.5873736954
7.8150930233;0.2966808617;9.9183529869;-0.6114046053
7.8250232558;0.2727019942;10.0586061092;-0.5825675134
7.8349534884;0.2295400329;9.9667161325;-0.4864438737
7.8448837209;0.2007653920;9.8409719539;-0.3278398682
7.8548139535;0.1384203367;9.7974451228;-0.1211740428
7.8647441860;0.0808710548;9.8071177519;0.1383597844
7.8746744186;0.0329133200;9.8022814374;0.4315368856
7.8846046512;-0.0102486414;9.6958825170;0.7295201687
7.8945348837;-0.0390232823;9.3863583850;0.9506045400
7.9044651163;-0.0773894702;9.1880694879;1.1668827293
7.9143953488;-0.0917767906;9.0768342529;1.3735485547
7.9243255814;-0.1013683376;9.0623253092;1.5273463783
7.9342558140;-0.1013683376;9.0187984782;1.6186638360
7.9441860465;-0.0725936967;8.9655990180;1.6330823819
7.9541162791;-0.0630021497;8.9946169054;1.6138576540
7.9640465116;-0.0390232823;9.1058521403;1.5802143801
7.9739767442;0.0089344526;9.2557778918;1.4600598305
7.9839069767;0.0568921874;9.3138136665;1.2678125510
7.9938372093;0.1192372427;9.3476678685;1.0082787238
8.0037674419;0.1767865245;9.3476678685;0.8016128984
8.0136976744;0.2199484859;9.4298852160;0.5276605253
8.0236279070;0.2870893147;9.4879209908;0.2392896061
8.0335581395;0.3302512761;9.5459567655;-0.0202442211
8.0434883721;0.3638216905;9.5701383383;-0.2317162285
8.0534186047;0.3973921049;9.7345730335;-0.3566769601
8.0633488372;0.3925963314;9.8603172121;-0.4816376917
8.0732790698;0.3973921049;9.9522071888;-0.5248933296
8.0832093023;0.3925963314;10.0102429636;-0.5104747836
8.0931395349;0.3782090109;10.0731150529;-0.4383820538
8.1030697674;0.3254555026;10.1166418840;-0.3134213222
8.1130000000;0.2774977677;10.1504960859;-0.1307864068
8.1229302326;0.2295400329;10.1408234568;0.0999103285
8.1328604651;0.1719907511;10.1698413441;0.3498317918
8.1427906977;0.1240330162;10.1553324005;0.6285903470
8.1527209302;0.0568921874;10.2278771189;0.8592870823
8.1626511628;0.0137302260;10.2955855228;1.0899838176
