Time (s);ωx (rad/s);ωy (rad/s);ωz (rad/s)
2.1841258318;-1.6737490632;0.7793878084;-1.3755253883
2.1944283122;-1.2970619466;0.7867497716;-1.3595744681
2.2047307925;-0.9228288178;0.7879767654;-1.3104947135
2.2150332728;-0.5915404742;0.7953387286;-1.2270591307
2.2253357532;-0.3216018239;0.7892037593;-1.1227646521
2.2356382335;-0.1338717626;0.7830687900;-1.0037462472
2.2459407139;-0.0602521307;0.7757068268;-0.8835008485
2.2562431942;-0.1117858730;0.7671178697;-0.7816603577
2.2665456745;-0.2712950755;0.7597559065;-0.7031327503
2.2768481549;-0.5203748301;0.7487129618;-0.6466910325
2.2871506352;-0.8418472227;0.7474859679;-0.6209241613
2.2974531155;-1.2271232963;0.7474859679;-0.6258321368
2.3077555959;-1.6332582656;0.7462589740;-0.6626419527
2.3180580762;-2.0357122534;0.7511669495;-0.7264456337
2.3283605566;-2.4087183883;0.7609829004;-0.8246051429
2.3386630369;-2.7240558116;0.7744798329;-0.9448505417
2.3489655172;-2.9473686951;0.7965657225;-1.0785928730
2.3592679976;-3.0602521307;0.8198786059;-1.2147891920
2.3695704779;-3.0541171613;0.8480994648;-1.3399425662
2.3798729583;-2.9289637871;0.8787743114;-1.4417830570
2.3901754386;-2.6896999834;0.9082221642;-1.5166296828
2.4004779189;-2.3571846460;0.9388970108;-1.5571204804
2.4107803993;-1.9670005969;0.9585289127;-1.5558934865
2.4210828796;-1.5191478362;0.9757068268;-1.5190836705
2.4313853600;-1.0369392472;0.9867497716;-1.4381020754
2.4416878403;-0.5706815785;0.9916577470;-1.3215376583
2.4519903206;-0.1535036644;0.9916577470;-1.1718444067
2.4622928010;0.1826926546;0.9806148022;-1.0000652656
2.4725952813;0.4526313049;0.9744798329;-0.8184701736
2.4828977616;0.6415883601;0.9609829004;-0.6282861245
2.4932002420;0.7336129000;0.9499399556;-0.4356480877
2.5035027223;0.7274779307;0.9401240047;-0.2430100509
2.5138052027;0.6280914276;0.9315350476;-0.0663229343
2.5241076830;0.4428153540;0.9241730845;0.0858243049
2.5344101633;0.2035515503;0.9119031458;0.2220206239
2.5447126437;-0.0590251368;0.9069951703;0.3250881086
