Time (s);Pressure (kPa)
2.9240301548;101.7727177164;18.2710280374
2.9340097800;101.8173320564;18.4579439252
2.9439894051;102.1300509971;18.6448598131
2.9539690302;101.6387747600;18.2710280374
2.9639486553;101.7727177164;18.2710280374
2.9739282804;101.6833344280;18.4579439252
2.9839079055;101.8173320564;18.4579439252
2.9938875306;101.9513296848;18.4579439252
3.0038671557;101.9959986967;18.6448598131
3.0138467808;101.7278940960;18.6448598131
3.0238264059;101.8173320564;18.4579439252
3.0338060310;101.6387747600;18.2710280374
3.0437856561;101.8173320564;18.4579439252
3.0537652812;101.8173320564;18.4579439252
3.0637449063;101.6833344280;18.4579439252
3.0737245314;101.5938417956;18.6448598131
3.0837041565;101.6833344280;18.4579439252
3.0936837816;101.7278940960;18.6448598131
3.1036634067;101.8619463963;18.6448598131
3.1136430318;102.0853273132;18.4579439252
3.1236226569;101.6833344280;18.4579439252
3.1336022820;101.8619463963;18.6448598131
3.1435819071;101.8619463963;18.6448598131
3.1535615322;101.9513296848;18.4579439252
3.1635411573;101.9959986967;18.6448598131
3.1735207824;101.6833344280;18.4579439252
3.1835004075;101.8619463963;18.6448598131
3.1934800326;101.8173320564;18.4579439252
3.2034596577;101.9513296848;18.4579439252
3.2134392828;102.1300509971;18.6448598131
3.2234189079;101.5938417956;18.6448598131
3.2333985330;101.8619463963;18.6448598131
3.2433781581;101.8173320564;18.4579439252
3.2533577832;101.9065607363;18.8317757009
3.2633374083;101.9513296848;18.4579439252
3.2733170334;102.2641032975;18.6448598131
3.2832966585;101.8173320564;18.4579439252
3.2932762836;101.8619463963;18.6448598131
3.3032559087;101.9513296848;18.4579439252
3.3132355338;102.2193249416;18.4579439252
3.3232151589;101.8173320564;18.4579439252
3.3331947840;101.6833344280;18.4579439252
3.3431744091;102.1747746810;18.8317757009
3.3531540342;101.7278940960;18.6448598131
3.3631336593;101.9959986967;18.6448598131
3.3731132844;101.9513296848;18.4579439252
3.3830929095;101.8173320564;18.4579439252
3.3930725346;101.6387747600;18.2710280374
3.4030521597;101.6387747600;18.2710280374
3.4130317848;101.8619463963;18.6448598131
3.4230114099;101.8619463963;18.6448598131
3.4329910350;101.8619463963;18.6448598131
3.4429706601;102.0406677087;18.8317757009
3.4529502852;101.7724537640;18.8317757009
3.4629299104;101.6833344280;18.4579439252
3.4729095355;101.7278940960;18.6448598131
3.4828891606;101.7278940960;18.6448598131
3.4928687857;102.0853273132;18.4579439252
3.5028484108;101.8173320564;18.4579439252
3.5128280359;101.7727177164;18.2710280374
3.5228076610;101.9066606729;18.2710280374
3.5327872861;101.6833344280;18.4579439252
3.5427669112;101.6387747600;18.2710280374
3.5527465363;101.9958799454;18.0841121495
3.5627261614;101.6833344280;18.4579439252
3.5727057865;101.6833344280;18.4579439252
3.5826854116;101.9065607363;18.8317757009
3.5926650367;101.7724537640;18.8317757009
3.6026446618;101.8173320564;18.4579439252
3.6126242869;101.7724537640;18.8317757009
3.6226039120;101.6833344280;18.4579439252
3.6325835371;101.7727177164;18.2710280374
3.6425631622;101.8173320564;18.4579439252
3.6525427873;101.8173320564;18.4579439252
3.6625224124;101.7727177164;18.2710280374
3.6725020375;102.0853273132;18.4579439252
3.6824816626;101.5938417956;18.6448598131
3.6924612877;101.9959986967;18.6448598131
3.7024409128;102.0406677087;18.8317757009
3.7124205379;101.6387747600;18.2710280374
3.7224001630;101.7724537640;18.8317757009
3.7323797881;102.0853273132;18.4579439252
3.7423594132;102.1300509971;18.6448598131
3.7523390383;101.6833344280;18.4579439252
3.7623186634;101.7724537640;18.8317757009
3.7722982885;101.8619463963;18.6448598131
3.7822779136;101.8619463963;18.6448598131
3.7922575387;101.9513296848;18.4579439252
3.8022371638;101.8173320564;18.4579439252
3.8122167889;101.6833344280;18.4579439252
3.8221964140;101.6387747600;18.2710280374
3.8321760391;101.8619463963;18.6448598131
3.8421556642;101.9513296848;18.4579439252
3.8521352893;101.8619463963;18.6448598131
3.8621149144;101.7724537640;18.8317757009
3.8720945395;101.6387747600;18.2710280374
3.8820741646;101.5938417956;18.6448598131
3.8920537897;101.8173320564;18.4579439252
3.9020334148;101.8173320564;18.4579439252
3.9120130399;101.9513296848;18.4579439252
3.9219926650;101.8619463963;18.6448598131
3.9319722901;101.8619463963;18.6448598131
3.9419519152;101.8173320564;18.4579439252
3.9519315403;101.6383467916;18.8317757009
3.9619111654;101.8173320564;18.4579439252
3.9718907905;102.0406677087;18.8317757009
3.9818704156;101.6833344280;18.4579439252
3.9918500407;101.6833344280;18.4579439252
4.0018296659;102.1300509971;18.6448598131
4.0118092910;101.7278940960;18.6448598131
4.0217889161;101.7278940960;18.6448598131
4.0317685412;101.9513296848;18.4579439252
4.0417481663;101.5938417956;18.6448598131
4.0517277914;101.8173320564;18.4579439252
4.0617074165;101.6387747600;18.2710280374
4.0716870416;101.8619463963;18.6448598131
4.0816666667;101.7278940960;18.6448598131
4.0916462918;101.6387747600;18.2710280374
4.1016259169;101.7281033764;18.0841121495
4.1116055420;101.8173320564;18.4579439252
4.1215851671;102.1300509971;18.6448598131
4.1315647922;101.7278940960;18.6448598131
4.1415444173;101.6387747600;18.2710280374
4.1515240424;101.7727177164;18.2710280374
4.1615036675;101.6383467916;18.8317757009
4.1714832926;101.8173320564;18.4579439252
4.1814629177;101.9513296848;18.4579439252
4.1914425428;101.6833344280;18.4579439252
4.2014221679;101.9513296848;18.4579439252
4.2114017930;101.6833344280;18.4579439252
4.2213814181;101.5048318035;18.2710280374
4.2313610432;101.6833344280;18.4579439252
4.2413406683;101.6833344280;18.4579439252
4.2513202934;101.9959986967;18.6448598131
4.2612999185;101.8619463963;18.6448598131
4.2712795436;101.8173320564;18.4579439252
4.2812591687;101.8173320564;18.4579439252
4.2912387938;101.5938417956;18.6448598131
4.3012184189;101.6833344280;18.4579439252
4.3111980440;101.6833344280;18.4579439252
4.3211776691;101.8173320564;18.4579439252
4.3311572942;101.5938417956;18.6448598131
4.3411369193;101.5493367995;18.4579439252
4.3511165444;102.1300509971;18.6448598131
4.3610961695;101.8173320564;18.4579439252
4.3710757946;101.9065607363;18.8317757009
4.3810554197;101.6833344280;18.4579439252
4.3910350448;102.0406677087;18.8317757009
4.4010146699;101.7724537640;18.8317757009
4.4109942950;101.7727177164;18.2710280374
