Time (s);Bx (µT);By (µT);Bz (µT)
10.8775433526;-53.0548827776;-1919.8769326829;-16.8688506714
10.8898482659;-53.0548827776;-1920.6485619512;-17.4278632246
10.9021531792;-53.2319233984;-1919.7226068293;-15.8905787031
10.9144580925;-53.0548827776;-1920.8028878049;-14.2135410433
10.9267630058;-53.0548827776;-1920.9572136585;-14.9123067349
10.9390679191;-52.5237609153;-1920.9572136585;-14.7725535965
10.9513728324;-52.5237609153;-1922.0374946341;-15.6110724265
10.9636777457;-51.4615171907;-1921.2658653659;-14.3532941816
10.9759826590;-51.9926390530;-1921.7288429268;-14.2135410433
10.9882875723;-51.6385578115;-1921.8831687805;-13.0955159367
11.0005924855;-51.1074359492;-1922.1918204878;-12.1172439684
11.0128973988;-50.7533547076;-1923.1177756098;-12.8160096600
11.0252023121;-50.3992734661;-1922.9634497561;-10.4402063086
11.0375072254;-51.1074359492;-1923.2721014634;-12.3967502451
11.0498121387;-49.8681516038;-1925.2783375610;-12.8160096600
11.0621170520;-49.1599891207;-1924.6610341463;-11.1389720002
11.0744219653;-49.5140703622;-1925.4326634146;-11.1389720002
11.0867268786;-48.8059078792;-1925.2783375610;-10.0209468936
11.0990317919;-47.9207047753;-1925.7413151220;-10.7197125852
11.1113367052;-47.9207047753;-1926.5129443902;-8.2041560954
11.1236416185;-48.6288672584;-1925.7413151220;-11.1389720002
11.1359465318;-47.3895829130;-1926.0499668293;-8.7631686487
11.1482514451;-46.8584610507;-1927.1302478049;-7.3656372655
11.1605563584;-45.4421360845;-1927.4388995122;-7.3656372655
11.1728612717;-45.4421360845;-1928.0562029268;-5.5488464673
11.1851661850;-45.0880548430;-1928.3648546341;-4.2910682225
11.1974710983;-44.5569329807;-1929.1364839024;-8.0644029571
11.2097760116;-44.0258111184;-1930.3710907317;-6.8066247122
11.2220809249;-43.4946892560;-1929.2908097561;-4.8500807757
11.2343858382;-42.6094861522;-1930.9883941463;-5.1295870524
11.2466907514;-42.4324455314;-1930.5254165854;-5.1295870524
11.2589956647;-42.0783642899;-1931.1427200000;-6.6668715739
11.2713005780;-41.3702018068;-1930.9883941463;-5.2693401907
11.2836054913;-40.8390799445;-1931.7600234146;-8.4836623721
11.2959104046;-40.8390799445;-1932.8403043902;-5.8283527440
11.3082153179;-39.9538768406;-1932.9946302439;-6.1078590206
11.3205202312;-39.9538768406;-1932.3773268293;-5.8283527440
11.3328251445;-38.8916331160;-1933.4576078049;-3.7320556692
11.3451300578;-39.4227549783;-1932.6859785366;-6.5271184356
11.3574349711;-38.7145924952;-1932.6859785366;-4.4308213608
11.3697398844;-38.3605112537;-1933.9205853659;-6.8066247122
11.3820447977;-38.1834706329;-1933.1489560976;-7.2258841272
11.3943497110;-38.1834706329;-1934.2292370732;-6.6668715739
11.4066546243;-38.1834706329;-1935.0008663415;-3.5923025309
11.4189595376;-39.0686737368;-1934.2292370732;-5.5488464673
11.4312644509;-38.0064300122;-1933.9205853659;-6.2476121590
11.4435693642;-38.3605112537;-1935.7724956098;-5.2693401907
11.4558742775;-38.1834706329;-1935.3095180488;-6.3873652973
11.4681791908;-38.8916331160;-1934.5378887805;-5.5488464673
11.4804841040;-38.0064300122;-1936.5441248781;-5.4090933290
11.4927890173;-39.0686737368;-1935.0008663415;-7.5053904038
11.5050939306;-39.0686737368;-1935.3095180488;-8.2041560954
11.5173988439;-39.2457143576;-1934.8465404878;-8.0644029571
11.5297037572;-40.1309174614;-1936.2354731707;-8.4836623721
11.5420086705;-39.7768362199;-1934.6922146341;-8.6234155104
11.5543135838;-39.5997955991;-1935.4638439024;-12.3967502451
11.5666184971;-40.1309174614;-1933.7662595122;-12.2569971068
11.5789234104;-41.1931611860;-1933.9205853659;-14.3532941816
11.5912283237;-41.3702018068;-1932.3773268293;-12.9557627984
11.6035332370;-43.8487704976;-1931.4513717073;-14.9123067349
11.6158381503;-43.8487704976;-1931.4513717073;-14.9123067349
11.6281430636;-42.7865267730;-1932.5316526829;-13.7942816283
11.6404479769;-43.4946892560;-1930.2167648781;-13.6545284900
11.6527528902;-44.2028517391;-1930.3710907317;-14.7725535965
11.6650578035;-44.9110142222;-1929.5994614634;-13.5147753516
11.6773627168;-45.6191767053;-1928.6735063415;-13.3750222133
11.6896676301;-46.3273391884;-1929.2908097561;-15.7508255648
